"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","486","Buscar um post por ID","","2026-07-10","passed","2026-07-10","","API de Posts","Buscar um post por ID",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","56","Deletar um post","","2026-07-10","passed","2026-07-10","","API de Posts","Deletar um post",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","95","Buscar posts de um usuário específico","","2026-07-10","passed","2026-07-10","","API de Posts","Buscar posts de um usuário específico",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","82","Buscar post inexistente retorna 404","","2026-07-10","passed","2026-07-10","","API de Posts","Buscar post inexistente retorna 404",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","721","Validar contrato (schema) do post","","2026-07-10","passed","2026-07-10","","API de Posts","Validar contrato (schema) do post",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","3460","Login com credenciais inválidas","","2026-07-10","passed","2026-07-10","","Login no sistema","Login com credenciais inválidas",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","2248","Listar todos os posts","","2026-07-10","passed","2026-07-10","","API de Posts","Listar todos os posts",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","81","Atualizar um post existente","","2026-07-10","passed","2026-07-10","","API de Posts","Atualizar um post existente",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","3476","Login com credenciais inválidas","","2026-07-10","passed","2026-07-10","","Login no sistema","Login com credenciais inválidas",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","3876","Login com senha incorreta","","2026-07-10","passed","2026-07-10","","Login no sistema","Login com senha incorreta",""
"  Como um usuário registrado
  Quero fazer login na aplicação
  Para acessar as funcionalidades do sistema","25103","Login com credenciais válidas","","2026-07-10","passed","2026-07-10","","Login no sistema","Login com credenciais válidas",""
"  Como consumidor da API REST
  Quero validar os endpoints de posts
  Para garantir que a API responde corretamente","122","Criar um novo post","","2026-07-10","passed","2026-07-10","","API de Posts","Criar um novo post",""
